Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"728,333","(+/-9,019)"
Sex and Age,Male,"370,357","(+/-5,639)"
Sex and Age,Female,"357,976","(+/-6,082)"
Sex and Age,Under 5 years,"25,201","(+/-2,065)"
Sex and Age,5 to 9 years,"34,347","(+/-3,012)"
Sex and Age,10 to 14 years,"38,765","(+/-3,262)"
Sex and Age,15 to 19 years,"58,186","(+/-3,107)"
Sex and Age,20 to 24 years,"68,203","(+/-3,787)"
Sex and Age,25 to 34 years,"106,447","(+/-4,883)"
Sex and Age,35 to 44 years,"99,772","(+/-4,397)"
Sex and Age,45 to 54 years,"88,116","(+/-4,105)"
Sex and Age,55 to 59 years,"38,206","(+/-3,436)"
Sex and Age,60 to 64 years,"44,124","(+/-2,764)"
Sex and Age,65 to 74 years,"76,657","(+/-3,056)"
Sex and Age,75 to 84 years,"37,942","(+/-2,447)"
Sex and Age,85 years and over,"12,367","(+/-1,532)"
Sex and Age,Median age (years),38.3,(+/-0.7)
Sex and Age,18 years and over,"605,017","(+/-7,052)"
Sex and Age,65 years and over,"126,966","(+/-3,423)"
Race,Total population,"728,333","(+/-9,019)"
Race,One race,"633,654","(+/-11,164)"
Race,White,"580,258","(+/-10,354)"
Race,Black or African American,"7,906","(+/-1,579)"
Race,American Indian and Alaska Native,"4,733","(+/-1,710)"
Race,Asian,"23,651","(+/-2,438)"
Race,Native Hawaiian and Other Pacific Islander,54,(+/-92)
Race,Some other race,"17,052","(+/-4,011)"
Race,Two or more races,"94,679","(+/-8,117)"
Hispanic or Latino and Race,Total population,"728,333","(+/-9,019)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"102,686","(+/-6,149)"
Hispanic or Latino and Race,Mexican,"66,158","(+/-6,752)"
Hispanic or Latino and Race,Puerto Rican,"3,660","(+/-1,468)"
Hispanic or Latino and Race,Cuban,"1,660","(+/-1,027)"
Hispanic or Latino and Race,Other Hispanic or Latino,"31,208","(+/-4,647)"
Hispanic or Latino and Race,Not Hispanic or Latino,"625,647","(+/-8,205)"
Place of Birth,Total population,"728,333","(+/-9,019)"
Place of Birth,Native,"665,767","(+/-9,188)"
Place of Birth,Born in United States,"654,864","(+/-9,485)"
Place of Birth,State of residence,"253,854","(+/-10,180)"
Place of Birth,Different state,"401,010","(+/-9,491)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","10,903","(+/-2,100)"
Place of Birth,Foreign-born,"62,566","(+/-5,943)"
Ancestry,Total population,"728,333","(+/-9,019)"
Ancestry,American,"28,540","(+/-3,952)"
Ancestry,Arab,"2,944","(+/-1,231)"
Ancestry,Czech,"6,081","(+/-1,851)"
Ancestry,Danish,"5,374","(+/-1,228)"
Ancestry,Dutch,"12,317","(+/-2,554)"
Ancestry,English,"111,283","(+/-7,039)"
Ancestry,French (except Basque),"16,458","(+/-2,424)"
Ancestry,French Canadian,"3,155","(+/-1,052)"
Ancestry,German,"145,776","(+/-8,657)"
Ancestry,Greek,"2,640","(+/-1,125)"
Ancestry,Hungarian,"2,679",(+/-894)
Ancestry,Irish,"99,031","(+/-6,525)"
Ancestry,Italian,"35,930","(+/-3,824)"
Ancestry,Lithuanian,"2,232",(+/-847)
Ancestry,Norwegian,"16,029","(+/-2,378)"
Ancestry,Polish,"22,657","(+/-3,503)"
Ancestry,Portuguese,"2,163","(+/-1,293)"
Ancestry,Russian,"8,079","(+/-1,720)"
Ancestry,Scotch-Irish,"8,349","(+/-1,497)"
Ancestry,Scottish,"26,017","(+/-3,144)"
Ancestry,Slovak,"1,410","(+/-1,112)"
Ancestry,Subsaharan African,"2,240",(+/-955)
Ancestry,Swedish,"16,786","(+/-2,424)"
Ancestry,Swiss,"4,599","(+/-1,548)"
Ancestry,Ukrainian,"3,078","(+/-1,308)"
Ancestry,Welsh,"7,810","(+/-1,865)"
Ancestry,West Indian (excluding Hispanic origin groups),715,(+/-405)
Veteran Status,Civilian population 18 years and over,"604,984","(+/-7,038)"
Veteran Status,Civilian veterans,"27,760","(+/-2,677)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"724,670","(+/-9,003)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"73,934","(+/-5,093)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"123,105","(+/-4,415)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"5,417","(+/-1,409)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"476,629","(+/-7,030)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"38,134","(+/-4,092)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"124,936","(+/-3,423)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"30,383","(+/-2,515)"
Residence 1 Year Ago,Population 1 year and over,"724,357","(+/-8,818)"
Residence 1 Year Ago,Same house,"603,773","(+/-11,677)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"120,584","(+/-8,719)"
Residence 1 Year Ago,Different house in the U.S.,"113,533","(+/-8,413)"
Residence 1 Year Ago,Same county,"52,151","(+/-6,216)"
Residence 1 Year Ago,Different county,"61,382","(+/-6,477)"
Residence 1 Year Ago,Same state,"31,333","(+/-4,197)"
Residence 1 Year Ago,Different state,"30,049","(+/-5,376)"
Residence 1 Year Ago,Abroad,"7,051","(+/-2,584)"
