Dist,First,Last,Party,2007 PVI,2007 Raw PVI,Rank
AL-01,Jo,Bonner,R,R+13,R+13.14,365
AL-02,Terry,Everett,R,R+15,R+14.84,386
AL-03,Mike,Rogers,R,R+6,R+6.21,277
AL-04,Robert,Aderholt,R,R+18,R+18.4,412
AL-05,Robert E.,Cramer,D,R+8,R+8.11,307
AL-06,Spencer,Bachus,R,R+26,R+26.41,433
AL-07,Artur,Davis,D,D+16,D+15.97,64
AK-00,Don,Young,R,R+14,R+13.54,373
AZ-01,Rick,Renzi,R,R+3,R+2.93,226
AZ-02,Trent,Franks,R,R+10,R+10.01,329
AZ-03,John,Shadegg,R,R+7,R+6.85,292
AZ-04,Ed,Pastor,D,D+13,D+13.5,77
AZ-05,Harry,Mitchell,D,R+4,R+3.81,241
AZ-06,Jeff,Flake,R,R+13,R+13.17,366
AZ-07,Raúl,Grijalva,D,D+9,D+8.62,118
AZ-08,Gabby,Giffords,D,R+2,R+2.06,214
AR-01,Robert Marion,Berry,D,R+1,R+0.65,203
AR-02,Vic,Snyder,D,R+1,R+0.78,205
AR-03,John,Boozman,R,R+12,R+11.82,350
AR-04,Mike,Ross,D,EVEN,R+0.5,200
CA-01,Mike,Thompson,D,D+11,D+10.82,96
CA-02,Wally,Herger,R,R+13,R+12.51,359
CA-03,Dan,Lungren,R,R+7,R+7.49,299
CA-04,John,Doolitte,R,R+11,R+11.28,346
CA-05,Doris,Matsui,D,D+13,D+12.98,79
CA-06,Lynn,Woolsey,D,D+21,D+21.25,43
CA-07,George,Miller,D,D+19,D+18.84,53
CA-08,Nancy,Pelosi,D,D+36,D+36.16,8
CA-09,Barbara,Lee,D,D+38,D+37.64,6
CA-10,Ellen,Tauscher,D,D+10,D+9.52,110
CA-11,Jerry,McNerney,D,R+3,R+3.46,237
CA-12,Tom,Lantos,D,D+23,D+22.69,38
CA-13,Pete,Stark,D,D+22,D+22,39
CA-14,Anna,Eshoo,D,D+19,D+19.08,52
CA-15,Mike,Honda,D,D+14,D+14.24,75
CA-16,Zoe,Lofgren,D,D+15,D+15.39,68
CA-17,Sam,Farr,D,D+17,D+16.87,63
CA-18,Dennis,Cardoza,D,D+2,D+1.89,179
CA-19,George,Radanovich,R,R+10,R+10.38,334
CA-20,Jim,Costa,D,D+3,D+3.09,163
CA-21,Devin,Nunes,R,R+14,R+14.2,379
CA-22,Kevin,McCarthy,R,R+17,R+17.09,405
CA-23,Lois,Capps,D,D+9,D+9.46,111
CA-24,Elton,Gallegly,R,R+5,R+5.33,261
CA-25,Buck,McKeon,R,R+8,R+8.08,306
CA-26,David,Dreier,R,R+5,R+4.69,250
CA-27,Brad,Sherman,D,D+12,D+11.6,88
CA-28,Howard,Berman,D,D+24,D+23.56,36
CA-29,Adam,Schiff,D,D+12,D+12.48,84
CA-30,Henry,Waxman,D,D+19,D+18.78,54
CA-31,Xavier,Becerra,D,D+30,D+29.54,25
CA-32,Hilda,Solis,D,D+15,D+15.14,69
CA-33,Diane,Watson,D,D+35,D+35.28,10
CA-34,Lucille,Roybal-Allard,D,D+22,D+21.63,42
CA-35,Maxine,Waters,D,D+31,D+31.43,21
CA-36,Jane,Harman,D,D+11,D+10.64,99
CA-37,Juanita,Millender-McDonald,D,D+26,D+26.21,29
CA-38,Grace,Napolitano,D,D+18,D+18.26,57
CA-39,Linda,Sánchez,D,D+11,D+11.23,94
CA-40,Ed,Royce,R,R+9,R+9.4,320
CA-41,Jerry,Lewis,R,R+11,R+10.53,338
CA-42,Gary,Miller,R,R+11,R+11.23,343
CA-43,Joe,Baca,D,D+11,D+11.24,93
CA-44,Ken,Calvert,R,R+8,R+7.57,301
CA-45,Mary,Bono,R,R+5,R+4.62,249
CA-46,Dana,Rohrabacher,R,R+7,R+6.64,287
CA-47,Loretta,Sanchez,D,D+2,D+2.23,172
CA-48,John B. T.,Campbell III,R,R+8,R+8.32,309
CA-49,Darrell,Issa,R,R+12,R+11.56,348
CA-50,Brian,Bilbray,R,R+5,R+4.91,254
CA-51,Bob,Filner,D,D+6,D+5.85,143
CA-52,Duncan L.,Hunter,R,R+10,R+10.38,335
CA-53,Susan,Davis,D,D+12,D+12.45,85
CO-01,Diana,DeGette,D,D+19,D+18.78,55
CO-02,Mark,Udall,D,D+9,D+8.65,117
CO-03,John,Salazar,D,R+5,R+5.42,265
CO-04,Marilyn,Musgrave,R,R+8,R+8.22,308
CO-05,Doug,Lamborn,R,R+16,R+16.12,399
CO-06,Tom,Tancredo,R,R+10,R+10.11,331
